vwap,transactions,ticker,timestamp,open,high,low,close,volume,sma_close_20
,726774,AAPL,2024-04-05 00:00:00+00:00,169.59,170.39,168.95,169.58,41975776,197.244
160.397,423036,AAPL,2022-03-17 00:00:00+00:00,158.61,161.0,157.63,160.62,75615376,195.33599999999998
,592950,AAPL,2023-11-22 00:00:00+00:00,191.49,192.93,190.825,191.31,39630011,196.6685
151.3869,718964,AAPL,2022-11-17 00:00:00+00:00,146.43,151.48,146.15,150.72,80389400,194.317
252.0418,465392,AAPL,2010-05-05 00:00:00+00:00,253.03,258.14,248.73,255.985,31539400,202.54175
,1031117,AAPL,2011-03-31 00:00:00+00:00,346.36,349.8,346.06,348.5075,9786400,207.477625
,507705,AAPL,2024-07-05 00:00:00+00:00,221.65,226.45,221.65,226.34,60412408,208.310625
89.2414,278831,AAPL,1999-11-09 00:00:00+00:00,94.37,94.5,88.0,89.62,7224800,200.07012500000002
,615447,AAPL,2024-08-16 00:00:00+00:00,223.92,226.8271,223.6501,226.05,44340240,201.268125
,485185,AAPL,2024-07-31 00:00:00+00:00,221.44,223.82,220.63,222.08,50036262,202.658625
223.3729,387118,AAPL,2018-09-12 00:00:00+00:00,224.94,225.0,219.84,221.07,49278740,203.037625
167.5123,358441,AAPL,2017-11-01 00:00:00+00:00,169.87,169.94,165.61,166.89,33100847,200.199125
166.1104,408248,AAPL,2007-11-20 00:00:00+00:00,165.67,171.79,163.53,168.85,55130100,198.20462500000002
,975072,AAPL,2019-09-17 00:00:00+00:00,219.96,220.82,219.12,220.7,18386468,199.976125
,555269,AAPL,2007-04-05 00:00:00+00:00,94.12,94.68,93.52,94.68,12697000,192.446625
,872020,AAPL,2025-05-27 00:00:00+00:00,198.3,200.74,197.43,200.21,56288475,194.480125
,513351,AAPL,2023-07-18 00:00:00+00:00,193.35,194.33,192.415,193.73,48353774,192.024625
,423247,AAPL,2024-01-25 00:00:00+00:00,195.22,196.2675,193.1125,194.17,54822126,193.271625
216.0944,572822,AAPL,2019-08-01 00:00:00+00:00,213.9,218.03,206.74,208.43,54017922,193.74562500000002
208.9948,827514,AAPL,2025-07-31 00:00:00+00:00,208.49,209.84,207.16,207.57,80698431,195.85562499999997
215.4418,508442,AAPL,2010-03-05 00:00:00+00:00,214.94,219.7,214.63,218.95,32129300,198.324125
238.8414,679032,AAPL,2025-09-16 00:00:00+00:00,237.175,241.22,236.3235,238.15,63421099,202.200625
217.6087,792931,AAPL,2025-03-12 00:00:00+00:00,220.14,221.75,214.91,216.98,62547467,203.484125
